card_id,customer_id,network,last4,issue_country
86,1546,Visa,0528,ZA
87,2090,MC,2099,ZA
88,1767,MC,5600,ZA
89,1822,MC,7861,ZA
90,1459,MC,3375,ZA
91,3613,MC,7845,ZA
92,3974,MC,8291,ZA
93,2832,MC,0086,ZA
94,4818,Visa,1910,ZA
95,4360,Visa,3591,ZA
96,3911,MC,5252,ZA
97,4790,MC,2979,ZA
98,3577,MC,3798,ZA
99,901,MC,7333,ZA
100,1731,Visa,3839,ZA
101,4723,Visa,7157,ZA
102,2357,MC,6028,ZA
103,2117,MC,0424,ZA
104,2951,Visa,2453,ZA
105,2582,MC,3635,ZA
106,3475,Visa,9114,ZA
107,288,Visa,6209,ZA
108,4848,MC,4953,ZA
109,3775,MC,4565,ZA
110,4457,MC,8218,ZA
111,2493,MC,2904,ZA
112,3975,Visa,8600,ZA
113,2579,MC,6223,ZA
114,3682,Visa,0916,ZA
115,688,MC,2742,ZA
116,2800,Visa,4115,ZA
117,4281,Visa,3920,ZA
118,3509,MC,1582,ZA
119,2140,MC,0153,ZA
120,1906,Visa,6154,ZA
121,4574,MC,8816,ZA
122,3098,MC,1519,ZA
123,2988,MC,3977,ZA
124,3183,MC,6557,ZA
125,1410,Visa,9960,ZA
126,3718,Visa,3786,ZA
127,555,MC,7639,ZA
128,3359,MC,5669,ZA
129,3462,Visa,5185,ZA
130,2078,Visa,2342,ZA
131,629,MC,3393,ZA
132,2340,Visa,7473,ZA
133,4604,Visa,8958,ZA
134,4216,Visa,4718,ZA
135,4969,Visa,1581,ZA
136,2904,Visa,9946,ZA
137,1178,Visa,2368,ZA
138,357,Visa,0516,ZA
139,2825,MC,6669,ZA
140,1363,Visa,2866,ZA
141,1415,MC,5974,ZA
142,1035,MC,3778,ZA
143,1111,MC,8131,ZA
144,2924,MC,5891,ZA
145,1240,Visa,8829,ZA
146,4059,Visa,7268,ZA
147,870,Visa,6688,ZA
148,1861,Visa,0590,ZA
149,2094,MC,2492,ZA
150,547,Visa,9400,ZA
151,1668,Visa,2745,ZA
152,584,MC,6027,ZA
153,934,MC,1786,ZA
154,4312,Visa,3885,ZA
155,2982,MC,3642,ZA
156,2427,Visa,9783,ZA
157,1284,Visa,0416,ZA
158,4578,Visa,9877,ZA
159,3987,MC,5863,ZA
160,2986,Visa,6912,ZA
161,4829,Visa,6635,ZA
162,3606,Visa,6831,ZA
163,2309,Visa,2216,ZA
164,706,Visa,2010,ZA
165,4542,MC,4054,ZA
166,3237,MC,1205,ZA
167,3563,Visa,9163,ZA
168,2464,Visa,3269,ZA
169,865,MC,7500,ZA
170,317,Visa,2892,ZA
171,2330,MC,0652,ZA
172,4864,MC,9385,ZA
173,160,MC,4017,ZA
174,1196,MC,0827,ZA
175,4709,Visa,2702,ZA
176,1545,MC,1084,ZA
177,904,MC,5134,ZA
178,3525,MC,8433,ZA
179,2863,Visa,0268,ZA
180,2478,Visa,7499,ZA
181,4192,Visa,7225,ZA
182,1951,Visa,0785,ZA
183,4931,MC,5760,ZA
184,4475,Visa,4411,ZA
185,4956,Visa,7005,ZA
186,2522,Visa,0634,ZA
187,1323,Visa,6257,ZA
188,3084,MC,6029,ZA
189,2447,Visa,8819,ZA
190,247,Visa,5808,ZA
191,3149,MC,7280,ZA
192,2353,Visa,1490,ZA
193,1364,Visa,2943,ZA
194,4028,Visa,7091,ZA
195,374,Visa,9150,ZA
196,525,MC,5200,ZA
197,439,Visa,2533,ZA
198,3117,Visa,4867,ZA
199,1393,MC,8098,ZA
200,2387,Visa,4220,ZA
201,732,Visa,4162,ZA
202,4157,MC,1823,ZA
203,2631,Visa,2793,ZA
204,3364,Visa,0884,ZA
205,2293,MC,6006,ZA
206,2515,MC,6329,ZA
207,1223,MC,4051,ZA
208,4718,MC,5374,ZA
209,832,MC,6205,ZA
210,3241,MC,3195,ZA
211,1335,Visa,7990,ZA
212,3504,MC,7226,ZA
213,4178,MC,9161,ZA
214,3774,Visa,6266,ZA
215,3172,Visa,2387,ZA
216,2267,Visa,7513,ZA
217,1079,MC,1922,ZA
218,4766,MC,4698,ZA
219,3775,MC,3159,ZA
220,1153,MC,3394,ZA
221,3174,MC,6540,ZA
222,1640,Visa,5519,ZA
223,1032,MC,0359,ZA
224,2504,Visa,5828,ZA
225,2234,Visa,9462,ZA
226,2225,MC,6360,ZA
227,2243,MC,5937,ZA
228,4593,MC,1461,ZA
229,1848,Visa,2801,ZA
230,647,MC,8817,ZA
231,3774,Visa,7677,ZA
232,451,MC,4814,ZA
233,188,Visa,7736,ZA
234,3211,Visa,4570,ZA
235,3237,Visa,7484,ZA
236,3930,Visa,0496,ZA
237,624,MC,5719,ZA
238,3864,Visa,2088,ZA
239,2155,Visa,0504,ZA
240,4613,MC,5767,ZA
241,4789,Visa,0763,ZA
242,1219,Visa,9202,ZA
243,337,MC,4491,ZA
244,468,MC,4117,ZA
245,3535,Visa,2017,ZA
246,3065,Visa,2037,ZA
247,1424,Visa,5646,ZA
248,3118,MC,5967,ZA
249,3459,Visa,9684,ZA
250,3531,Visa,6405,ZA
251,4126,Visa,2829,ZA
252,1734,MC,3514,ZA
253,4748,Visa,7983,ZA
254,1833,MC,0503,ZA
255,496,MC,6401,ZA
256,4433,Visa,6773,ZA
257,623,Visa,2002,ZA
258,4787,Visa,4538,ZA
259,4456,MC,8334,ZA
260,3095,Visa,8344,ZA
261,2207,Visa,7248,ZA
262,4697,Visa,3149,ZA
263,4304,Visa,4260,ZA
264,863,Visa,7818,ZA
265,2075,Visa,4818,ZA
266,2024,MC,7855,ZA
267,2089,MC,0035,ZA
268,2782,MC,9340,ZA
269,2793,MC,0357,ZA
270,2715,MC,6245,ZA
271,1527,Visa,8466,ZA
272,4156,MC,5757,ZA
273,1960,MC,9287,ZA
274,4978,Visa,7897,ZA
275,4749,Visa,6243,ZA
276,911,Visa,4634,ZA
277,4042,Visa,9947,ZA
278,1185,Visa,5634,ZA
279,3498,MC,5596,ZA
280,2423,MC,3731,ZA
281,868,Visa,4401,ZA
282,952,Visa,0296,ZA
283,4618,MC,8464,ZA
284,2363,Visa,3141,ZA
285,1331,MC,6680,ZA
286,1341,Visa,1064,ZA
287,2189,Visa,6588,ZA
288,423,Visa,9591,ZA
289,3997,MC,6365,ZA
290,705,MC,6675,ZA
291,1167,Visa,1483,ZA
292,3332,MC,7424,ZA
293,390,Visa,1275,ZA
294,3262,Visa,0254,ZA
295,4411,Visa,9701,ZA
296,4943,MC,3889,ZA
297,2533,MC,0221,ZA
298,2575,MC,9107,ZA
299,1378,MC,9018,ZA
300,2917,MC,0085,ZA
301,4395,Visa,4309,ZA
302,1880,Visa,6394,ZA
303,4812,Visa,2863,ZA
304,3090,MC,0982,ZA
305,3677,MC,7426,ZA
306,3853,MC,2778,ZA
307,213,Visa,7635,ZA
308,4440,MC,6190,ZA
309,2145,Visa,5179,ZA
310,4188,Visa,6108,ZA
311,3329,MC,0745,ZA
312,1057,MC,8242,ZA
313,560,Visa,0872,ZA
314,3802,MC,8298,ZA
315,3782,Visa,6585,ZA
316,3840,Visa,6336,ZA
317,434,Visa,2882,ZA
318,222,Visa,3806,ZA
319,1898,MC,2810,ZA
320,1778,Visa,5378,ZA
321,1752,Visa,4733,ZA
322,2617,Visa,1440,ZA
323,1935,MC,9299,ZA
324,3811,MC,8955,ZA
325,3580,MC,1888,ZA
326,3978,Visa,2778,ZA
327,110,MC,7644,ZA
328,961,Visa,9234,ZA
329,3942,MC,7296,ZA
330,52,Visa,8744,ZA
331,4329,Visa,5224,ZA
332,2560,MC,1056,ZA
333,3404,Visa,1607,ZA
334,2649,MC,9867,ZA
335,4172,Visa,6362,ZA
336,3592,Visa,5870,ZA
337,3786,MC,3609,ZA
338,612,Visa,2078,ZA
339,1183,Visa,3174,ZA
340,3051,Visa,2382,ZA
341,461,MC,6593,ZA
342,2628,MC,1866,ZA
343,2397,Visa,8368,ZA
344,1602,MC,7595,ZA
345,4562,MC,9327,ZA
346,1540,Visa,6915,ZA
347,4831,Visa,1777,ZA
348,2544,Visa,8221,ZA
349,1091,Visa,4968,ZA
350,4839,MC,4309,ZA
351,2700,MC,7004,ZA
352,4291,MC,7286,ZA
353,3179,Visa,5747,ZA
354,3195,Visa,6785,ZA
355,3584,MC,9978,ZA
356,1199,MC,5027,ZA
357,4902,Visa,2656,ZA
358,1521,Visa,7530,ZA
359,1616,MC,4452,ZA
360,2482,Visa,2679,ZA
361,251,MC,4462,ZA
362,3387,Visa,4697,ZA
363,3992,Visa,1837,ZA
364,3681,Visa,2849,ZA
365,4711,Visa,7020,ZA
366,2903,MC,9044,ZA
367,3622,MC,2907,ZA
368,775,MC,1448,ZA
369,3584,Visa,7339,ZA
370,1830,MC,6243,ZA
371,1485,Visa,8882,ZA
372,1864,MC,9231,ZA
373,4466,MC,2987,ZA
374,95,Visa,1688,ZA
375,2382,MC,8584,ZA
376,3338,Visa,2985,ZA
377,521,MC,8550,ZA
378,3495,MC,8503,ZA
379,4311,MC,8074,ZA
380,4917,Visa,0779,ZA
381,2686,Visa,9619,ZA
382,494,Visa,3568,ZA
383,3096,Visa,5279,ZA
384,4847,MC,0122,ZA
385,638,Visa,7948,ZA
386,918,Visa,3907,ZA
387,1119,MC,6605,ZA
388,2743,MC,9330,ZA
389,3537,MC,2460,ZA
390,2909,Visa,0876,ZA
391,3801,Visa,8899,ZA
392,2223,MC,8882,ZA
393,1857,Visa,8908,ZA
394,1514,Visa,7292,ZA
395,3789,MC,1006,ZA
396,4880,MC,1886,ZA
397,2751,Visa,4188,ZA
398,3405,MC,6034,ZA
399,668,Visa,6541,ZA
400,3424,Visa,5370,ZA
401,3194,MC,5803,ZA
402,4552,Visa,1850,ZA
403,3543,Visa,6421,ZA
404,3212,MC,5474,ZA
405,817,MC,7482,ZA
406,2948,MC,8067,ZA
407,704,MC,0984,ZA
408,3945,Visa,5917,ZA
409,2775,MC,9879,ZA
410,2588,MC,2735,ZA
411,1593,MC,3517,ZA
412,4084,Visa,6533,ZA
413,410,MC,4288,ZA
414,1558,Visa,4741,ZA
415,3111,Visa,0533,ZA
416,1151,Visa,2421,ZA
417,4829,MC,6507,ZA
418,3956,Visa,0703,ZA
419,2446,MC,2873,ZA
420,4851,MC,9188,ZA
421,4121,MC,8565,ZA
422,2765,Visa,8656,ZA
423,3353,Visa,2834,ZA
424,232,Visa,1357,ZA
425,4558,Visa,3153,ZA
426,4637,Visa,7509,ZA
427,712,Visa,5055,ZA
428,3262,MC,4417,ZA
429,1933,MC,0177,ZA
430,288,MC,8423,ZA
431,3684,MC,6463,ZA
432,1754,Visa,7803,ZA
433,3465,Visa,3905,ZA
434,198,MC,2085,ZA
435,1199,Visa,1957,ZA
436,2625,Visa,4942,ZA
437,4581,MC,5010,ZA
438,747,MC,2899,ZA
439,1720,Visa,4397,ZA
440,4381,MC,3769,ZA
441,3985,Visa,5825,ZA
442,4503,MC,3742,ZA
443,4121,MC,1952,ZA
444,4104,MC,4805,ZA
445,564,Visa,7504,ZA
446,4846,Visa,7360,ZA
447,3895,MC,9424,ZA
448,1216,MC,8933,ZA
449,1392,MC,7292,ZA
450,122,MC,8407,ZA
451,1976,Visa,8754,ZA
452,556,Visa,1256,ZA
453,420,MC,5702,ZA
454,2568,Visa,4488,ZA
455,1585,Visa,0723,ZA
456,3103,Visa,8812,ZA
457,1706,Visa,6428,ZA
458,2916,Visa,9842,ZA
459,4152,Visa,7615,ZA
460,1322,MC,9246,ZA
461,1655,Visa,8643,ZA
462,4841,Visa,9682,ZA
463,2194,Visa,2662,ZA
464,1056,MC,8155,ZA
465,2704,MC,0721,ZA
466,2974,MC,4643,ZA
467,2060,MC,4060,ZA
468,859,Visa,2123,ZA
469,3212,Visa,2651,ZA
470,3279,Visa,5760,ZA
471,1248,MC,6821,ZA
472,1656,Visa,6418,ZA
473,696,Visa,7765,ZA
474,3069,MC,9260,ZA
475,2463,MC,2102,ZA
476,3778,Visa,4917,ZA
477,1702,MC,4749,ZA
478,2935,MC,2213,ZA
479,2650,Visa,0842,ZA
480,3949,MC,4591,ZA
481,1837,Visa,2766,ZA
482,4930,MC,8531,ZA
483,3975,MC,8082,ZA
484,3430,MC,1290,ZA
485,1420,MC,4597,ZA
486,3316,Visa,3499,ZA
487,2819,Visa,3133,ZA
488,4824,Visa,0464,ZA
489,3378,MC,8994,ZA
490,2209,Visa,9040,ZA
491,2149,MC,6163,ZA
492,1172,MC,0747,ZA
493,4491,MC,7881,ZA
494,2582,MC,9510,ZA
495,3654,Visa,1909,ZA
496,746,Visa,5299,ZA
497,288,Visa,6870,ZA
498,1838,Visa,8670,ZA
499,1579,Visa,2128,ZA
500,3429,Visa,1991,ZA
501,3952,Visa,2320,ZA
502,1659,Visa,7353,ZA
503,162,Visa,7477,ZA
504,2392,MC,8484,ZA
505,4411,MC,4280,ZA
506,2917,MC,5218,ZA
507,3125,Visa,9573,ZA
508,4669,MC,8296,ZA
509,2000,Visa,7111,ZA
510,4733,Visa,4092,ZA
511,2183,Visa,4645,ZA
512,2513,MC,1407,ZA
513,3412,Visa,5142,ZA
514,134,Visa,5972,ZA
515,3367,MC,5096,ZA
516,3155,Visa,0761,ZA
517,3897,Visa,0264,ZA
518,1890,MC,2328,ZA
519,2022,MC,7870,ZA
520,3184,MC,0118,ZA
521,2535,Visa,2772,ZA
522,4716,MC,5868,ZA
523,3527,Visa,9377,ZA
524,1762,MC,2821,ZA
525,2999,Visa,8762,ZA
526,1725,Visa,2416,ZA
527,4794,MC,1469,ZA
528,3821,Visa,7738,ZA
529,4087,Visa,4769,ZA
530,71,Visa,4728,ZA
531,3667,MC,8007,ZA
532,2970,MC,3808,ZA
533,1568,Visa,4267,ZA
534,1175,Visa,4962,ZA
535,3571,MC,5032,ZA
536,3986,Visa,1356,ZA
537,1936,MC,2749,ZA
538,3740,MC,9805,ZA
539,2449,Visa,4643,ZA
540,275,MC,1498,ZA
541,1472,MC,1567,ZA
542,54,MC,7095,ZA
543,105,Visa,4539,ZA
544,4835,MC,7231,ZA
545,1804,Visa,6548,ZA
546,4413,Visa,9189,ZA
547,2254,Visa,8425,ZA
548,4646,MC,2837,ZA
549,2609,Visa,7481,ZA
550,4240,MC,4804,ZA
551,3760,Visa,8253,ZA
552,903,MC,2363,ZA
553,1123,Visa,3759,ZA
554,2431,Visa,4801,ZA
555,225,MC,9562,ZA
556,4930,MC,9765,ZA
557,1308,Visa,1150,ZA
558,4063,MC,6376,ZA
559,1558,MC,4484,ZA
560,2028,MC,4375,ZA
561,505,MC,3043,ZA
562,2387,MC,4480,ZA
563,2177,MC,3142,ZA
564,4181,Visa,2608,ZA
565,1577,MC,8360,ZA
566,2910,Visa,9179,ZA
567,3743,MC,6079,ZA
568,4534,MC,8670,ZA
569,4873,Visa,2878,ZA
570,4928,Visa,0657,ZA
571,726,Visa,7681,ZA
572,4355,Visa,1400,ZA
573,2488,Visa,4524,ZA
574,2008,MC,3234,ZA
575,566,Visa,0909,ZA
576,5,Visa,0927,ZA
577,1514,Visa,5740,ZA
578,3297,MC,6605,ZA
579,4268,Visa,0608,ZA
580,1466,MC,0029,ZA
581,1743,Visa,9875,ZA
582,2420,MC,2197,ZA
583,899,Visa,9037,ZA
584,3016,Visa,2746,ZA
585,4213,Visa,7534,ZA
586,1567,MC,6677,ZA
587,573,MC,8606,ZA
588,1491,Visa,4727,ZA
589,1566,MC,3193,ZA
590,3318,Visa,9491,ZA
591,3892,MC,7208,ZA
592,4821,Visa,8696,ZA
593,355,MC,7741,ZA
594,2149,Visa,9089,ZA
595,190,Visa,0264,ZA
596,4220,Visa,4361,ZA
597,3436,Visa,5308,ZA
598,3869,Visa,0420,ZA
599,4408,Visa,7766,ZA
600,879,MC,6846,ZA
601,337,MC,4823,ZA
602,3042,MC,7847,ZA
603,2574,MC,5195,ZA
604,165,Visa,4665,ZA
605,104,MC,4751,ZA
606,4772,MC,5832,ZA
607,2157,Visa,3198,ZA
608,1338,MC,4096,ZA
609,1472,Visa,6902,ZA
610,2111,MC,1726,ZA
611,2666,Visa,4038,ZA
612,1830,Visa,9227,ZA
613,4775,Visa,8711,ZA
614,2381,Visa,0877,ZA
615,4425,Visa,4766,ZA
616,2212,Visa,5265,ZA
617,4096,MC,0545,ZA
618,3250,MC,0331,ZA
619,2422,Visa,9666,ZA
620,4537,Visa,8690,ZA
621,2481,MC,7448,ZA
622,2737,MC,3683,ZA
623,391,Visa,6533,ZA
624,2640,MC,2327,ZA
625,1451,Visa,5546,ZA
626,304,Visa,0064,ZA
627,1405,MC,1812,ZA
628,530,MC,4234,ZA
629,4592,MC,7046,ZA
630,2394,MC,4691,ZA
631,1217,Visa,5635,ZA
632,3867,MC,7462,ZA
633,2105,MC,2039,ZA
634,390,Visa,9688,ZA
635,4979,MC,1420,ZA
636,4492,MC,1686,ZA
637,2665,MC,3979,ZA
638,1655,Visa,6560,ZA
639,2013,MC,3009,ZA
640,3935,Visa,4399,ZA
641,378,Visa,8380,ZA
642,4709,MC,4210,ZA
643,3731,MC,8727,ZA
644,3761,Visa,8580,ZA
645,691,MC,2323,ZA
646,3316,MC,1821,ZA
647,657,MC,4321,ZA
648,1664,MC,6159,ZA
649,1365,Visa,8536,ZA
650,4940,MC,8955,ZA
651,4369,Visa,5756,ZA
652,2277,MC,1813,ZA
653,4718,Visa,9192,ZA
654,798,MC,5890,ZA
655,3059,MC,5176,ZA
656,4640,MC,0571,ZA
657,610,MC,9533,ZA
658,438,Visa,7043,ZA
659,1669,MC,6583,ZA
660,4830,Visa,4824,ZA
661,4711,MC,7812,ZA
662,512,MC,2913,ZA
663,999,MC,0923,ZA
664,2856,Visa,0067,ZA
665,4936,Visa,7360,ZA
666,904,Visa,8858,ZA
667,4102,Visa,1006,ZA
668,1172,Visa,7177,ZA
669,1066,Visa,9406,ZA
670,2704,MC,9329,ZA
671,4814,Visa,5528,ZA
672,2049,MC,8624,ZA
673,437,Visa,5279,ZA
674,3601,Visa,2601,ZA
675,1238,Visa,2038,ZA
676,4757,MC,8077,ZA
677,2907,Visa,7071,ZA
678,1824,Visa,4645,ZA
679,4413,MC,3073,ZA
680,1556,MC,8260,ZA
681,4398,Visa,3221,ZA
682,69,MC,3235,ZA
683,4648,MC,8313,ZA
684,2096,Visa,6506,ZA
685,1262,Visa,8356,ZA
686,4428,Visa,0926,ZA
687,415,MC,5403,ZA
688,4428,MC,5306,ZA
689,895,Visa,3172,ZA
690,3788,MC,5475,ZA
691,4899,MC,5866,ZA
692,4753,MC,4073,ZA
693,3832,Visa,9257,ZA
694,2044,Visa,8524,ZA
695,1554,Visa,1851,ZA
696,511,Visa,7782,ZA
697,131,MC,7988,ZA
698,1484,Visa,0638,ZA
699,1659,Visa,5203,ZA
700,3064,MC,0324,ZA
701,2056,MC,8281,ZA
702,1213,MC,6532,ZA
703,4666,Visa,7647,ZA
704,3436,MC,2234,ZA
705,1181,MC,3096,ZA
706,2609,MC,4308,ZA
707,3531,Visa,3238,ZA
708,2746,MC,0164,ZA
709,775,MC,1547,ZA
710,798,MC,8507,ZA
711,3682,MC,5593,ZA
712,3673,Visa,5225,ZA
713,2154,MC,1017,ZA
714,358,Visa,2663,ZA
715,3113,MC,7603,ZA
716,1871,Visa,7745,ZA
717,4886,Visa,4777,ZA
718,4167,MC,6101,ZA
719,1423,MC,9652,ZA
720,3789,Visa,2158,ZA
721,4374,MC,2591,ZA
722,3496,MC,6241,ZA
723,1234,MC,4243,ZA
724,846,MC,0031,ZA
725,269,Visa,9878,ZA
726,2234,MC,6181,ZA
727,2755,Visa,6086,ZA
728,1500,Visa,5547,ZA
729,997,MC,5131,ZA
730,4419,MC,8835,ZA
731,1373,Visa,2844,ZA
732,3433,MC,7207,ZA
733,3642,Visa,7533,ZA
734,2709,Visa,9540,ZA
735,4627,Visa,1591,ZA
736,608,MC,9164,ZA
737,1857,Visa,4221,ZA
738,3654,MC,6465,ZA
739,1737,Visa,5227,ZA
740,1012,Visa,2133,ZA
741,1996,MC,5238,ZA
742,2085,MC,6276,ZA
743,3653,Visa,3248,ZA
744,1502,Visa,3269,ZA
745,2295,MC,6290,ZA
746,2816,MC,0663,ZA
747,2866,MC,9548,ZA
748,2398,Visa,6434,ZA
749,342,MC,3089,ZA
750,3764,Visa,1735,ZA
751,3458,MC,1731,ZA
752,2073,MC,5486,ZA
753,2174,MC,5571,ZA
754,2975,MC,0701,ZA
755,4716,MC,2162,ZA
756,2415,MC,1696,ZA
757,1013,MC,1608,ZA
758,576,MC,5878,ZA
759,1565,Visa,4722,ZA
760,272,Visa,9593,ZA
761,780,MC,2896,ZA
762,359,Visa,8015,ZA
763,2105,MC,6105,ZA
764,1186,Visa,6427,ZA
765,114,MC,9685,ZA
766,2942,Visa,4316,ZA
767,4484,MC,0668,ZA
768,3768,MC,8974,ZA
769,200,MC,9518,ZA
770,4600,MC,1185,ZA
771,2587,MC,1490,ZA
772,2567,Visa,3634,ZA
773,3077,MC,7768,ZA
774,764,MC,5990,ZA
775,3275,Visa,2040,ZA
776,3710,MC,5569,ZA
777,3426,Visa,2220,ZA
778,2559,MC,3396,ZA
779,939,MC,2772,ZA
780,2390,Visa,4496,ZA
781,1456,MC,2167,ZA
782,463,MC,2425,ZA
783,3305,MC,3671,ZA
784,1839,MC,0715,ZA
785,2622,Visa,7755,ZA
786,2358,Visa,8543,ZA
787,4516,MC,4456,ZA
788,2512,MC,6318,ZA
789,2591,Visa,3199,ZA
790,1315,MC,2888,ZA
791,1580,Visa,6010,ZA
792,3301,MC,8420,ZA
793,2044,Visa,5927,ZA
794,189,MC,9807,ZA
795,1118,Visa,3194,ZA
796,4493,Visa,3152,ZA
797,1325,Visa,7479,ZA
798,249,MC,4136,ZA
799,4031,Visa,6059,ZA
800,1143,MC,7572,ZA
801,2385,MC,6860,ZA
802,4048,MC,7958,ZA
803,3012,Visa,0002,ZA
804,4597,MC,1665,ZA
805,3987,Visa,3603,ZA
806,2564,Visa,3975,ZA
807,373,Visa,7289,ZA
808,2819,MC,1551,ZA
809,1329,Visa,1481,ZA
810,4214,MC,9964,ZA
811,3671,MC,4807,ZA
812,4232,Visa,0796,ZA
813,4308,Visa,4319,ZA
814,1790,MC,8617,ZA
815,1709,Visa,8339,ZA
816,2080,Visa,6559,ZA
817,2124,Visa,7724,ZA
818,1791,Visa,0254,ZA
819,2244,MC,9892,ZA
820,4981,MC,9027,ZA
821,3106,MC,9737,ZA
822,1907,Visa,2852,ZA
823,2855,Visa,6532,ZA
824,232,MC,2413,ZA
825,4953,Visa,0790,ZA
826,276,MC,8195,ZA
827,1623,MC,0370,ZA
828,2644,Visa,7197,ZA
829,779,MC,8608,ZA
830,3691,MC,1223,ZA
831,3502,Visa,4299,ZA
832,4759,MC,2194,ZA
833,1481,Visa,0687,ZA
834,1517,MC,4864,ZA
835,4275,MC,6678,ZA
836,3081,Visa,9830,ZA
837,1225,Visa,5223,ZA
838,2124,Visa,7486,ZA
839,4085,MC,2574,ZA
840,921,MC,7160,ZA
841,868,Visa,0980,ZA
842,4365,Visa,2668,ZA
843,2354,MC,8951,ZA
844,364,MC,6238,ZA
845,2095,MC,5004,ZA
846,1639,Visa,2154,ZA
847,1627,MC,5936,ZA
848,2295,Visa,0620,ZA
849,711,Visa,8652,ZA
850,2831,MC,2564,ZA
851,1308,Visa,1090,ZA
852,273,MC,6397,ZA
853,1796,MC,9453,ZA
854,3747,Visa,3481,ZA
855,3782,Visa,6013,ZA
856,4205,Visa,8311,ZA
857,3017,MC,7556,ZA
858,4835,MC,7358,ZA
859,383,Visa,8880,ZA
860,2406,Visa,5613,ZA
861,2744,MC,6999,ZA
862,3086,Visa,6628,ZA
863,3557,MC,7705,ZA
864,3767,MC,8165,ZA
865,2243,Visa,5774,ZA
866,3779,MC,8581,ZA
867,4226,MC,4287,ZA
868,2100,Visa,8548,ZA
869,2665,Visa,6962,ZA
870,4170,MC,0789,ZA
871,4594,MC,8801,ZA
872,961,Visa,4756,ZA
873,2801,Visa,1660,ZA
874,1376,Visa,8484,ZA
875,4027,MC,4932,ZA
876,4561,Visa,7598,ZA
877,2880,MC,0347,ZA
878,2721,MC,2930,ZA
879,2077,Visa,3267,ZA
880,1274,MC,0932,ZA
881,994,MC,9130,ZA
882,4860,MC,0228,ZA
883,4952,Visa,8135,ZA
884,1103,Visa,2701,ZA
885,2099,Visa,4352,ZA
886,3085,MC,3690,ZA
887,621,Visa,7100,ZA
888,206,MC,2855,ZA
889,1179,Visa,8525,ZA
890,1929,Visa,1388,ZA
891,4706,Visa,1491,ZA
892,1280,MC,8879,ZA
893,3859,MC,2113,ZA
894,397,Visa,9834,ZA
895,1914,MC,5140,ZA
896,1960,MC,5057,ZA
897,2372,MC,6502,ZA
898,3615,MC,6604,ZA
899,1121,Visa,8636,ZA
900,4895,Visa,8737,ZA
901,612,Visa,0746,ZA
902,4232,Visa,1393,ZA
903,2426,Visa,5516,ZA
904,1839,Visa,0515,ZA
905,4523,Visa,7485,ZA
906,4343,MC,3593,ZA
907,1668,Visa,8078,ZA
908,1904,Visa,5541,ZA
909,1288,Visa,4973,ZA
910,4722,Visa,4152,ZA
